0;"بعد سنوات من القطيعة, عادت أحلام مستغانمي للأدب العربي برواية عجزت في النهاية ان اقتبس منها, فكلها تُقتبس , لم استطع ان انتقي منها بعض العبارات خشية أن اظلم ما تبقى منها.
لا اذكر ان رواية اجتاحتني مثلما فعلت هذه الرواية, عصفت بي ,وقفت حائرة أمام تلك المشاهد التي اقتلعتني من الحياة لمدة 7 ساعات و على مدى 3 أيام متواصلة, انام على حروفها و استيقظ على غلافها راقدة بجانب سريري, فهل هناك اعمق من هكذا اجتياح و اقوى ؟";P
1;من الناحية البيانية تعد الرواية غنية جداً بالصور و التشبيهات الرائعة و لكن القصة لم ترق بحبكتها الى المستوى المأمول، من وجهة نظري، حيث انني وجدتها كغيرها من الروايات الرومانسية العادية جدا;N
2;"رواية كقطعة كبيرة من الشوكولا المغلفة بورق فاخر , تتلذذ بأول قضمة منها , ثم تغدو سائر القضمات مجرد شوكولا
لغة جميلة , كلمات منتقاة بعناية , تشبيهات مبهرة ترميك بعيداً في سماء الخيال , حوارات ذكية يتجاذبها طرفان برشاقة ... 
";P
3;لم تبهرني الرواية .. توقعت أحداثها و شعرت بالخيبة في نهايتها .. أُعزي ذلك لحماسي الشديد قبل قراءتها و لن أعزيه لسبب آخر;N
4;"كانت الحكمة التي انهت بها احلام روايتها ..عبقرية في الحوار و بناء المشاهد و خلق الاحاسيس و لولا الخطاب الانثوي الصريح في اخر ثلاث صفحات لاصبحت كاملة الاوصاف و مع ذلك لن اخجل من اعطائها الخمس نجوم 
";P
5;كنت أتمني أن يكون أهتمام أحلام مستغانمي بالحبكة الروائية للعمل بقدر أهتمامها باللغة، كتاب تخرج منه بعدد كبير من الأقتباسات المفضلة لا أكثر;N
6;"لأنها لأحلام فكثير مما تتوقعه تجده : لغةٌ ساحرة ، وصف جميل ، تحليل دقيق ، لكن كل هذا لايكفي لتكون الرواية جيدة !
ينقص القصة الكثير ، هناك سطحية في بعض الأحداث و تناقض لا معنى له ، كما أن تكرار الحديث عن ارهاب الجزائر و حكومات ما بعد الإحتلال لم يأت بجديد ، قرأناه بالطريقة نفسها في رواية سابقة !!
";N
7;"قرأت الرواية قبل عامين و نصف، كانت أول ثلاث كتبها أدشن بها دخولي إلى عالم المطالعة
لم أحب أن أكتب مراجعة لها من قبل، و لكن الآن نعم سأفعل.
لغة أحلام ساحرة جدا جدا، لا أحد ينكر ذلك، بالمقابل الرواية فاشلة بإمتياز لا وجود لفكرة أو حبكة أو أي شيء من هذا القبيل إطلاقا. موضوع الرواية مقتول";N
8;"رواية رائعة و لكن لم تعجبني الشخصيتان الرئيسيتان (هالة و طلال) بقدر ما أغرمت بالشخصيات الثانوية الأخرى (أم هالة، والد هالة، جدها، أخوها علاء، حبيبة أخيها الصحافية هند و أخوها الندير، ... ) كل الشخصيات الثانوية لها قصص أعمق و أجمل بكثير من الشخصيتين الرئيسيتين.
";P
9;عقد من الزمن ننتظر رواية أحلام، منذ أن صدرت رواية عابر سرير و نحن ننتظر، لكن الخيبة هي أقل ما يمكن أن أقوله عن هذه الرواية التي هي أقل من جيدة، على مستوى المضمون فأحلام لم تأتي بجديد، و بصراحة بعد ذاكرة الجسد و خالد بن طوبال لم تستطع التجاوز، الموضوع مستهلك و ممل جدا، كررته في روايتها كثيرا، و على المستوى الفني الرواية متخمة بالحشو و الجمل الزائدة، حاولت أن تعطي الرواية ثيمة ساحرة لكنها فشلت، تبقى ذاكرة الجسد هي أعظم رواية عربية كتبتها امرأة، و لم تستطع كاتبتها تجاوزها، و لن تستطيع..;N
